TARGET,AMT_INCOME_TOTAL,,FALSE,Quartile 1
1,202500,Not outlier,202500,Quartile 3
0,270000,Not outlier,,
0,67500,Not outlier,202500,IQR
0,135000,Not outlier,-303750,
0,121500,Not outlier,506250,
0,99000,Not outlier,,
0,171000,Not outlier,,
0,360000,Not outlier,,
0,112500,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,38419.155,Not outlier,,
0,67500,Not outlier,,
0,225000,Not outlier,,
0,189000,Not outlier,,
0,157500,Not outlier,,
0,108000,Not outlier,,
0,81000,Not outlier,,
0,112500,Not outlier,,
0,90000,Not outlier,,
0,135000,Not outlier,,
0,202500,Not outlier,,
0,450000,Not outlier,,
0,83250,Not outlier,,
0,135000,Not outlier,,
0,90000,Not outlier,,
1,112500,Not outlier,,
0,112500,Not outlier,,
0,270000,Not outlier,,
0,90000,Not outlier,,
0,292500,Not outlier,,
0,112500,Not outlier,,
0,90000,Not outlier,,
0,360000,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,198000,Not outlier,,
0,121500,Not outlier,,
0,99000,Not outlier,,
0,180000,Not outlier,,
1,202500,Not outlier,,
0,202500,Not outlier,,
1,135000,Not outlier,,
0,108000,Not outlier,,
0,202500,Not outlier,,
0,90000,Not outlier,,
0,202500,Not outlier,,
0,99000,Not outlier,,
0,130500,Not outlier,,
0,360000,Not outlier,,
0,54000,Not outlier,,
0,540000,outlier,,
0,76500,Not outlier,,
0,225000,Not outlier,,
0,81000,Not outlier,,
0,180000,Not outlier,,
0,67500,Not outlier,,
0,81000,Not outlier,,
0,360000,Not outlier,,
0,540000,outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,324000,Not outlier,,
0,112500,Not outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,225000,Not outlier,,
0,157500,Not outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,103500,Not outlier,,
0,225000,Not outlier,,
0,157500,Not outlier,,
0,135000,Not outlier,,
0,202500,Not outlier,,
0,112500,Not outlier,,
0,135000,Not outlier,,
0,94500,Not outlier,,
0,108000,Not outlier,,
0,67500,Not outlier,,
1,81000,Not outlier,,
0,157500,Not outlier,,
0,225000,Not outlier,,
0,360000,Not outlier,,
0,202500,Not outlier,,
0,202500,Not outlier,,
0,126000,Not outlier,,
0,72000,Not outlier,,
0,90000,Not outlier,,
0,193500,Not outlier,,
0,171000,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
1,315000,Not outlier,,
0,76500,Not outlier,,
0,135000,Not outlier,,
0,90000,Not outlier,,
0,243000,Not outlier,,
0,90000,Not outlier,,
0,54000,Not outlier,,
0,135000,Not outlier,,
0,126000,Not outlier,,
0,76500,Not outlier,,
0,103500,Not outlier,,
0,225000,Not outlier,,
0,126000,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,85500,Not outlier,,
1,157500,Not outlier,,
0,270000,Not outlier,,
0,202500,Not outlier,,
0,67500,Not outlier,,
0,202500,Not outlier,,
0,135000,Not outlier,,
0,157500,Not outlier,,
0,225000,Not outlier,,
0,135000,Not outlier,,
0,157500,Not outlier,,
0,157500,Not outlier,,
0,360000,Not outlier,,
0,162000,Not outlier,,
0,112500,Not outlier,,
0,202500,Not outlier,,
0,117000,Not outlier,,
0,135000,Not outlier,,
0,247500,Not outlier,,
0,171000,Not outlier,,
0,135000,Not outlier,,
0,157500,Not outlier,,
0,202500,Not outlier,,
0,144000,Not outlier,,
0,157500,Not outlier,,
0,157500,Not outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,225000,Not outlier,,
1,292500,Not outlier,,
0,90000,Not outlier,,
0,112500,Not outlier,,
0,130500,Not outlier,,
0,450000,Not outlier,,
0,175500,Not outlier,,
0,58500,Not outlier,,
0,180000,Not outlier,,
0,117000,Not outlier,,
0,180000,Not outlier,,
0,202500,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,119250,Not outlier,,
0,202500,Not outlier,,
0,315000,Not outlier,,
1,157500,Not outlier,,
0,112500,Not outlier,,
0,103500,Not outlier,,
0,58500,Not outlier,,
0,117000,Not outlier,,
0,225000,Not outlier,,
0,135000,Not outlier,,
0,162000,Not outlier,,
0,112500,Not outlier,,
1,111915,Not outlier,,
0,225000,Not outlier,,
0,157500,Not outlier,,
0,90000,Not outlier,,
0,164250,Not outlier,,
0,157500,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,216000,Not outlier,,
0,180000,Not outlier,,
0,67500,Not outlier,,
0,54000,Not outlier,,
0,81000,Not outlier,,
0,63000,Not outlier,,
0,157500,Not outlier,,
0,157500,Not outlier,,
0,180000,Not outlier,,
1,180000,Not outlier,,
0,202500,Not outlier,,
0,225000,Not outlier,,
0,49500,Not outlier,,
1,202500,Not outlier,,
0,90000,Not outlier,,
0,90000,Not outlier,,
0,180000,Not outlier,,
0,337500,Not outlier,,
0,315000,Not outlier,,
0,225000,Not outlier,,
0,225000,Not outlier,,
0,225000,Not outlier,,
0,157500,Not outlier,,
0,112500,Not outlier,,
0,292500,Not outlier,,
0,121500,Not outlier,,
0,157500,Not outlier,,
0,135000,Not outlier,,
0,108000,Not outlier,,
0,216000,Not outlier,,
0,67500,Not outlier,,
0,135000,Not outlier,,
0,112500,Not outlier,,
0,144000,Not outlier,,
0,135000,Not outlier,,
0,225000,Not outlier,,
0,135000,Not outlier,,
0,90000,Not outlier,,
0,112500,Not outlier,,
0,247500,Not outlier,,
1,135000,Not outlier,,
0,225000,Not outlier,,
0,90000,Not outlier,,
0,67500,Not outlier,,
0,72000,Not outlier,,
0,202500,Not outlier,,
0,225000,Not outlier,,
0,292500,Not outlier,,
0,315000,Not outlier,,
0,90000,Not outlier,,
0,135000,Not outlier,,
0,180000,Not outlier,,
0,180000,Not outlier,,
0,90000,Not outlier,,
0,315000,Not outlier,,
0,108000,Not outlier,,
0,121500,Not outlier,,
0,112500,Not outlier,,
0,157500,Not outlier,,
0,225000,Not outlier,,
0,85500,Not outlier,,
0,180000,Not outlier,,
0,90000,Not outlier,,
0,135000,Not outlier,,
1,157500,Not outlier,,
0,308250,Not outlier,,
0,108000,Not outlier,,
0,135000,Not outlier,,
0,67500,Not outlier,,
0,180000,Not outlier,,
0,112500,Not outlier,,
1,73341,Not outlier,,
0,135000,Not outlier,,
0,180000,Not outlier,,
0,112500,Not outlier,,
1,121500,Not outlier,,
0,202500,Not outlier,,
0,157500,Not outlier,,
0,202500,Not outlier,,
0,135000,Not outlier,,
0,153000,Not outlier,,
0,202500,Not outlier,,
0,202500,Not outlier,,
0,157500,Not outlier,,
1,225000,Not outlier,,
0,225000,Not outlier,,
0,135000,Not outlier,,
0,270000,Not outlier,,
0,112500,Not outlier,,
1,63000,Not outlier,,
1,112500,Not outlier,,
0,180000,Not outlier,,
0,292500,Not outlier,,
0,225000,Not outlier,,
0,135000,Not outlier,,
0,225000,Not outlier,,
0,157500,Not outlier,,
0,157500,Not outlier,,
0,180000,Not outlier,,
0,87750,Not outlier,,
0,292500,Not outlier,,
0,121500,Not outlier,,
0,67500,Not outlier,,
0,180000,Not outlier,,
0,90000,Not outlier,,
0,135000,Not outlier,,
0,225000,Not outlier,,
0,270000,Not outlier,,
0,225000,Not outlier,,
0,450000,Not outlier,,
0,112500,Not outlier,,
0,135000,Not outlier,,
1,36000,Not outlier,,
0,180000,Not outlier,,
0,171000,Not outlier,,
0,135000,Not outlier,,
0,157500,Not outlier,,
0,382500,Not outlier,,
0,90000,Not outlier,,
0,63000,Not outlier,,
1,157500,Not outlier,,
0,270000,Not outlier,,
0,270000,Not outlier,,
0,166500,Not outlier,,
0,202500,Not outlier,,
0,76500,Not outlier,,
0,90000,Not outlier,,
0,315000,Not outlier,,
0,112500,Not outlier,,
0,157500,Not outlier,,
0,180000,Not outlier,,
0,81000,Not outlier,,
0,135000,Not outlier,,
0,108000,Not outlier,,
0,112500,Not outlier,,
0,69750,Not outlier,,
0,81000,Not outlier,,
0,112500,Not outlier,,
0,315000,Not outlier,,
0,180000,Not outlier,,
0,225000,Not outlier,,
0,112500,Not outlier,,
0,67500,Not outlier,,
0,270000,Not outlier,,
0,157500,Not outlier,,
0,360000,Not outlier,,
0,315000,Not outlier,,
0,247500,Not outlier,,
0,765000,outlier,,
0,166500,Not outlier,,
0,157500,Not outlier,,
0,45000,Not outlier,,
0,450000,Not outlier,,
0,90000,Not outlier,,
0,225000,Not outlier,,
0,112500,Not outlier,,
0,180000,Not outlier,,
0,360000,Not outlier,,
0,157500,Not outlier,,
0,247500,Not outlier,,
0,112500,Not outlier,,
0,630000,outlier,,
0,121500,Not outlier,,
0,180000,Not outlier,,
0,292500,Not outlier,,
0,99000,Not outlier,,
0,247500,Not outlier,,
0,90000,Not outlier,,
0,153000,Not outlier,,
0,180000,Not outlier,,
0,405000,Not outlier,,
0,112500,Not outlier,,
0,225000,Not outlier,,
1,112500,Not outlier,,
0,144000,Not outlier,,
0,81000,Not outlier,,
0,270000,Not outlier,,
1,202500,Not outlier,,
0,81000,Not outlier,,
0,315000,Not outlier,,
0,180000,Not outlier,,
0,135000,Not outlier,,
0,157500,Not outlier,,
0,81000,Not outlier,,
0,112500,Not outlier,,
0,180000,Not outlier,,
0,450000,Not outlier,,
0,135000,Not outlier,,
0,90000,Not outlier,,
0,112500,Not outlier,,
0,112500,Not outlier,,
